punto,planta,horas,cap_turbina_kW,cap_biogas_kW,generacion_kWh,autoconsumo_kWh,excedente_kWh,excedente_permuta_kWh,excedente_bolsa_kWh
5,Planta F,1931,300.0,2000.0,3350137.3773672,777633.01,2572504.3673672,0.0,2572504.3673672
6,Planta A,5105,300.0,2000.0,10205599.873896,4516546.65,5689053.223896,0.0,5689053.223896
6,Planta B,5155,9000.0,4000.0,52696236.01553299,4157043.55,48539192.46553301,0.0,48539192.46553301
6,Planta C,5920,7000.0,3000.0,44940418.076730415,4591256.0,40349162.07673039,0.0,40349162.07673039
6,Planta D,5496,5000.0,3000.0,34721309.29877567,3050499.84,31670809.45877568,0.0,31670809.45877568
6,Planta E,3147,300.0,3000.0,7989088.815628201,2841017.19,5148071.6256282,0.0,5148071.6256282
6,Planta F,1931,300.0,2000.0,3350137.3773672,777633.01,2572504.3673672,0.0,2572504.3673672
7,Planta A,5105,7000.0,2000.0,37527287.266896,4516546.65,33010740.616896,0.0,33010740.616896
7,Planta B,5155,9000.0,4000.0,52696236.01553299,4157043.55,48539192.46553301,0.0,48539192.46553301
7,Planta C,5920,7000.0,3000.0,44940418.076730415,4591256.0,40349162.07673039,0.0,40349162.07673039
7,Planta D,5496,1500.0,3000.0,19355630.97077568,3050499.84,16305131.13077568,0.0,16305131.13077568
7,Planta E,3147,300.0,3000.0,7989088.815628201,2841017.19,5148071.6256282,0.0,5148071.6256282
7,Planta F,1931,300.0,2000.0,3350137.3773672,777633.01,2572504.3673672,0.0,2572504.3673672
8,Planta A,5105,7000.0,2000.0,37527287.266896,4516546.65,33010740.616896,0.0,33010740.616896
8,Planta B,5155,9000.0,4000.0,52696236.01553299,4157043.55,48539192.46553301,0.0,48539192.46553301
8,Planta C,5920,7000.0,3000.0,44940418.076730415,4591256.0,40349162.07673039,0.0,40349162.07673039
8,Planta D,5496,5000.0,3000.0,34721309.29877567,3050499.84,31670809.45877568,0.0,31670809.45877568
8,Planta E,3147,300.0,3000.0,7989088.815628201,2841017.19,5148071.6256282,0.0,5148071.6256282
8,Planta F,1931,300.0,2000.0,3350137.3773672,777633.01,2572504.3673672,0.0,2572504.3673672
9,Planta A,5105,8000.0,2000.0,39635540.58983856,4516546.65,35118993.93983856,0.0,35118993.93983856
9,Planta B,5155,9000.0,4000.0,52696236.01553299,4157043.55,48539192.46553301,0.0,48539192.46553301
9,Planta C,5920,7000.0,3000.0,44940418.076730415,4591256.0,40349162.07673039,0.0,40349162.07673039
9,Planta D,5496,5000.0,3000.0,34721309.29877567,3050499.84,31670809.45877568,0.0,31670809.45877568
9,Planta E,3147,5000.0,3000.0,19804030.1538282,2841017.19,16963012.9638282,0.0,16963012.9638282
9,Planta F,1931,300.0,2000.0,3350137.3773672,777633.01,2572504.3673672,0.0,2572504.3673672
10,Planta A,5105,8000.0,2000.0,39635540.58983856,4516546.65,35118993.93983856,0.0,35118993.93983856
10,Planta B,5155,9000.0,4000.0,52696236.01553299,4157043.55,48539192.46553301,0.0,48539192.46553301
10,Planta C,5920,7000.0,3000.0,44940418.076730415,4591256.0,40349162.07673039,0.0,40349162.07673039
10,Planta D,5496,6000.0,3000.0,35433762.567062445,3050499.84,32383262.727062415,0.0,32383262.727062415
10,Planta E,3147,8000.0,3000.0,25004239.91673092,2841017.19,22163222.726730935,0.0,22163222.726730935
10,Planta F,1931,5000.0,2000.0,10506510.113865364,777633.01,9728877.10386537,0.0,9728877.10386537
